src_ip,dst_ip,src_port,dst_port,protocol,duration,protocoltype,service,flag,srcbytes,dstbytes,wrongfragment,hot,loggedin,numcompromised,rootshell,suattempted,numroot,numfilecreations,numshells,numaccessfiles,ishostlogin,isguestlogin,count,srvcount,serrorrate,srvserrorrate,rerrorrate,srvrerrorrate,samediprate,diffsrvrate,dsthostcount,dsthostsrvcount,dsthostsamedsrvrate,dsthostdiffsrvrate,dsthostserrorrate,dsthostsrvserrorrate,dsthostrerrorrate,dsthostsrvrerrorrate,lastflag,prediction
 2025 16:58:07.613249000 India Standard Time,192.168.29.112,TLSv1.2,61296,34.237.73.95,0.0,9,9,11,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,ANOMALY
 2025 16:58:07.856048000 India Standard Time,34.237.73.95,TLSv1.2,443,192.168.29.112,0.0,2,2,14,61296,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,ANOMALY
 2025 16:58:07.897011000 India Standard Time,192.168.29.112,TCP,61296,34.237.73.95,0.0,9,9,20,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,ANOMALY
 2025 16:58:08.674499000 India Standard Time,,ICMPv6,0,,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,ANOMALY
 2025 16:58:09.838345000 India Standard Time,,ICMPv6,0,,0.0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,ANOMALY
 2025 16:58:09.839089000 India Standard Time,,ICMPv6,0,,0.0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,ANOMALY
 2025 16:58:09.979703000 India Standard Time,,SSL,62370,,0.0,0,0,25,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,ANOMALY
 2025 16:58:09.998978000 India Standard Time,,TCP,443,,0.0,0,0,28,62370,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,ANOMALY
 2025 16:58:11.541352000 India Standard Time,192.168.29.1,IGMPv2,0,224.0.0.1,0.0,5,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,ANOMALY
 2025 16:58:11.541680000 India Standard Time,192.168.29.189,MDNS,0,224.0.0.251,0.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANOMALY
 2025 16:58:11.542000000 India Standard Time,,MDNS,0,,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,ANOMALY
 2025 16:58:11.828593000 India Standard Time,192.168.29.112,IGMPv2,0,224.0.0.252,0.0,7,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,ANOMALY
 2025 16:58:11.828823000 India Standard Time,192.168.29.112,IGMPv2,0,224.0.0.251,0.0,6,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,ANOMALY
 2025 16:58:11.829014000 India Standard Time,192.168.29.112,IGMPv2,0,239.255.255.250,0.0,8,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,ANOMALY
 2025 16:58:15.280759000 India Standard Time,,UDP,0,,0.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,ANOMALY
 2025 16:58:15.287262000 India Standard Time,,UDP,0,,0.0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,ANOMALY
 2025 16:58:17.392530000 India Standard Time,,SSL,62667,,0.0,0,0,25,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,ANOMALY
 2025 16:58:17.437042000 India Standard Time,,TCP,443,,0.0,0,0,28,62667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,ANOMALY
 2025 16:58:20.159871000 India Standard Time,192.168.29.112,SSL,62372,20.189.173.12,0.0,3,3,21,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,ANOMALY
 2025 16:58:20.287093000 India Standard Time,,ICMPv6,0,,0.0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,ANOMALY
 2025 16:58:20.287201000 India Standard Time,,ICMPv6,0,,0.0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,ANOMALY
