timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,flag
Mar 23\, 2025 16:58:11.541680000 India Standard Time,192.168.29.189,224.0.0.251,MDNS,0,0,103
Mar 23\, 2025 16:58:11.542000000 India Standard Time,,,MDNS,0,0,123
Mar 23\, 2025 16:58:11.828593000 India Standard Time,192.168.29.112,224.0.0.252,IGMPv2,0,0,46
Mar 23\, 2025 16:58:11.828823000 India Standard Time,192.168.29.112,224.0.0.251,IGMPv2,0,0,46
Mar 23\, 2025 16:58:11.829014000 India Standard Time,192.168.29.112,239.255.255.250,IGMPv2,0,0,46
Mar 23\, 2025 16:58:15.280759000 India Standard Time,,,UDP,0,0,203
Mar 23\, 2025 16:58:15.287262000 India Standard Time,,,UDP,0,0,95
Mar 23\, 2025 16:58:17.392530000 India Standard Time,,,SSL,62667,443,75
Mar 23\, 2025 16:58:17.437042000 India Standard Time,,,TCP,443,62667,86
Mar 23\, 2025 16:58:20.159871000 India Standard Time,192.168.29.112,20.189.173.12,SSL,62372,443,55
Mar 23\, 2025 16:58:20.287093000 India Standard Time,,,ICMPv6,0,0,86
Mar 23\, 2025 16:58:20.287201000 India Standard Time,,,ICMPv6,0,0,86
Mar 23\, 2025 16:58:20.408437000 India Standard Time,20.189.173.12,192.168.29.112,TCP,443,62372,66
Mar 23\, 2025 16:58:23.608196000 India Standard Time,192.168.29.112,34.237.73.95,TLSv1.2,61296,443,295
Mar 23\, 2025 16:58:23.851243000 India Standard Time,34.237.73.95,192.168.29.112,TLSv1.2,443,61296,320
Mar 23\, 2025 16:58:23.891703000 India Standard Time,192.168.29.112,34.237.73.95,TCP,61296,443,54
Mar 23\, 2025 16:58:24.034841000 India Standard Time,,,ICMPv6,0,0,142
Mar 23\, 2025 16:58:25.240182000 India Standard Time,192.168.29.112,34.237.73.95,SSL,61281,443,55
Mar 23\, 2025 16:58:25.407186000 India Standard Time,192.168.29.112,204.79.197.203,TCP,62715,443,54
Mar 23\, 2025 16:58:25.421914000 India Standard Time,,,ARP,0,0,42
Mar 23\, 2025 16:58:25.421955000 India Standard Time,,,ARP,0,0,42
Mar 23\, 2025 16:58:25.427080000 India Standard Time,204.79.197.203,192.168.29.112,TCP,443,62715,54
Mar 23\, 2025 16:58:25.427080000 India Standard Time,204.79.197.203,192.168.29.112,TCP,443,62715,54
Mar 23\, 2025 16:58:25.427245000 India Standard Time,192.168.29.112,204.79.197.203,TCP,62715,443,54
Mar 23\, 2025 16:58:25.477160000 India Standard Time,34.237.73.95,192.168.29.112,TCP,443,61281,66
Mar 23\, 2025 16:58:30.288910000 India Standard Time,,,UDP,0,0,91
Mar 23\, 2025 16:58:30.344730000 India Standard Time,,,UDP,0,0,87
Mar 23\, 2025 16:58:31.611761000 India Standard Time,192.168.29.189,224.0.0.251,MDNS,0,0,103
Mar 23\, 2025 16:58:31.611761000 India Standard Time,,,MDNS,0,0,123
Mar 23\, 2025 16:58:34.274736000 India Standard Time,,,ICMPv6,0,0,142
Mar 23\, 2025 16:58:37.755604000 India Standard Time,192.168.29.189,239.255.255.250,SSDP,0,0,167
Mar 23\, 2025 16:58:39.617730000 India Standard Time,192.168.29.112,34.237.73.95,TLSv1.2,61296,443,295
Mar 23\, 2025 16:58:39.860869000 India Standard Time,34.237.73.95,192.168.29.112,TLSv1.2,443,61296,317
Mar 23\, 2025 16:58:39.902326000 India Standard Time,192.168.29.112,34.237.73.95,TCP,61296,443,54
Mar 23\, 2025 16:58:40.939382000 India Standard Time,,,TLSv1.2,61222,443,173
Mar 23\, 2025 16:58:40.984102000 India Standard Time,,,TLSv1.2,443,61222,243
Mar 23\, 2025 16:58:41.033616000 India Standard Time,,,TCP,61222,443,74
Mar 23\, 2025 16:58:41.535675000 India Standard Time,,,TCP,62771,443,86
Mar 23\, 2025 16:58:41.555887000 India Standard Time,,,TCP,443,62771,86
Mar 23\, 2025 16:58:41.556028000 India Standard Time,,,TCP,62771,443,74
Mar 23\, 2025 16:58:41.557869000 India Standard Time,,,TLSv1.2,62771,443,971
Mar 23\, 2025 16:58:41.574866000 India Standard Time,,,TCP,443,62771,74
Mar 23\, 2025 16:58:41.575793000 India Standard Time,,,TLSv1.3,443,62771,362
Mar 23\, 2025 16:58:41.575871000 India Standard Time,,,TCP,62771,443,74
Mar 23\, 2025 16:58:41.583147000 India Standard Time,,,TLSv1.3,62771,443,154
Mar 23\, 2025 16:58:41.583441000 India Standard Time,,,TLSv1.3,62771,443,690
Mar 23\, 2025 16:58:41.601289000 India Standard Time,,,TCP,443,62771,74
Mar 23\, 2025 16:58:41.745234000 India Standard Time,,,TLSv1.3,443,62771,942
Mar 23\, 2025 16:58:41.745380000 India Standard Time,,,TCP,62771,443,74
Mar 23\, 2025 16:58:44.017294000 India Standard Time,192.168.29.112,104.18.26.90,TCP,62694,443,55
